ID,Session0_Pilot1,Configuration,Period,Subject,Group,Profit,TotalProfit,Participate,conf,treat,orden,profit,totalProfit,totalEuros,totalPay,eurosFS,conF1,conF2,conF3,conF4,conF5,ownCon,groupF1,groupF2,groupF3,groupF4,groupF5,FS1G,FS2G,FS3G,FS4G,FS5G,sumFSG,cumSumFS,profF1,profF2,profF3,profF4,profF5,hasDecided,oldGroupF1,oldGroupF2,oldGroupF3,oldGroupF4,oldGroupF5,remainECU,age,gender,studies,level,q1,q2,q3,q4,q5,rand,ranking,screen,TimeAnteriorTutorialOK,TimeContinuarTutorialOK,TimeEmpezarTutorialOK,secsTime,remainTime,show,LeaveStage,TimeCuntoMeQuedaDecOK,TimeAceptarDecOK,maxValue1,minValue1,total,aRandCon[1],aRandCon[2],aRandCon[3],aRandCon[4],aRandCon[5],aRandCon[6],i,itRandCon,con_i,TimeContinuarEndPartOK,TimeEmpezarIniPart2OK,TimeContinuarQuestionsOK,sumaE_FS,TimeOKPaymentOK,timing
23,0,1,1,23,2,0,0,0,1,2,2,94.17,94.17,0,0,0,23,0,13,47,11,6,128,160,119,142,100,0,8,11.9,21.3,20,61.2,6.12,19.2,22.8,16.065,18.105,12,1,0,0,0,0,0,17,18,0,,,-1,-1,-1,-1,-1,0.639349751,20,11,0,-259,-263,-1,19,0,0,25,17,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
24,0,1,1,24,4,0,0,0,1,2,2,108.2775,108.2775,0,0,0,0,11,0,89,0,0,200,116,95,219,175,0,5.8,9.5,32.85,35,83.15,8.315,30,16.53,12.825,27.9225,21,0,0,0,0,0,0,10,19,0,,,-1,-1,-1,-1,-1,0.282334066,40,11,0,-184,-186,-1,0,0,0,16,0,0,0,6,4,2,3,1,6,5,7,5,0,-,-,-,-,-,2
25,0,1,1,25,2,0,0,0,1,2,2,108.17,108.17,0,0,0,0,20,20,20,20,20,128,160,119,142,100,0,8,11.9,21.3,20,61.2,6.12,19.2,22.8,16.065,18.105,12,1,0,0,0,0,0,100,41,1,,,-1,-1,-1,-1,-1,0.67978336,19,11,0,-357,-360,-1,29,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
26,0,1,1,26,6,0,0,0,1,2,2,83.4075,83.4075,0,0,0,80,0,20,0,0,0,203,52,93,79,191,0,2.6,9.3,11.85,38.2,61.95,6.195,30.45,7.41,12.555,10.0725,22.92,1,0,0,0,0,0,100,19,0,,,-1,-1,-1,-1,-1,0.039090085,59,11,0,-371,-386,-1,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,2
27,0,1,1,27,6,0,0,0,1,2,2,133.4075,133.4075,0,0,0,50,0,0,0,0,50,203,52,93,79,191,0,2.6,9.3,11.85,38.2,61.95,6.195,30.45,7.41,12.555,10.0725,22.92,1,0,0,0,0,0,100,19,0,,,-1,-1,-1,-1,-1,0.054154522,57,11,0,-462,-464,-1,29,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0
28,0,1,1,28,3,0,0,0,1,1,1,134.6925,134.6925,0,0,0,0,20,20,20,40,0,233,147,202,182,236,0,7.35,20.2,27.3,47.2,102.05,10.205,34.95,20.9475,27.27,23.205,28.32,1,0,0,0,0,0,0,24,1,,,-1,-1,-1,-1,-1,0.536490999,25,11,0,-346,-348,-1,6,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0
29,0,1,1,29,1,0,0,0,1,1,1,134.0925,134.0925,0,0,0,2,44,0,54,0,0,165,169,239,234,193,0,8.45,23.9,35.1,38.6,106.05,10.605,24.75,24.0825,32.265,29.835,23.16,0,0,0,0,0,0,100,19,1,,,-1,-1,-1,-1,-1,0.987056268,1,11,0,-277,-290,-1,0,0,0,56,0,0,0,5,4,2,5,1,3,0,6,3,0,-,-,-,-,-,2
30,0,1,1,30,6,0,0,0,1,2,2,158.4075,158.4075,0,0,0,5,5,5,5,5,75,203,52,93,79,191,0,2.6,9.3,11.85,38.2,61.95,6.195,30.45,7.41,12.555,10.0725,22.92,1,0,0,0,0,0,100,19,1,,,-1,-1,-1,-1,-1,0.103166736,55,11,0,-373,-375,-1,28,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,2
31,0,1,1,31,4,0,0,0,1,2,2,158.2775,158.2775,0,0,0,50,0,0,0,0,50,200,116,95,219,175,0,5.8,9.5,32.85,35,83.15,8.315,30,16.53,12.825,27.9225,21,1,0,0,0,0,0,100,20,0,,,-1,-1,-1,-1,-1,0.38763843,34,11,0,-290,-292,-1,27,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
32,0,1,1,32,3,0,0,0,1,1,1,134.6925,134.6925,0,0,0,20,10,30,10,30,0,233,147,202,182,236,0,7.35,20.2,27.3,47.2,102.05,10.205,34.95,20.9475,27.27,23.205,28.32,1,0,0,0,0,0,100,19,1,,,-1,-1,-1,-1,-1,0.514541467,28,11,0,-294,-304,-1,33,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,2
